national_tmed,national_tmin,national_tmax
25.85055912,19.32903287,32.3811604
24.46685549,18.43687073,30.48321234
25.28149385,18.3599655,32.19961967
24.27252376,17.30161583,31.25950795
22.25907614,16.93118898,27.59476543
21.87210691,15.22229844,28.50472333
23.38070253,16.49842723,30.23077771
24.70353986,18.02006113,31.3539095
24.54613318,18.76519464,30.35631375
24.68767254,18.09848743,31.2783767
24.57493424,18.07593661,31.08419163
25.03451606,18.34662752,31.71583752
25.21512758,17.91234617,32.50779967
25.59419193,18.32823384,32.85781276
25.2613359,18.42579406,32.12481904
24.81499509,17.51087698,32.12653154
24.7132595,18.18004082,31.24875936
24.3140547,18.64294644,29.99484903
23.48453286,17.76474815,29.22828006
23.49128842,17.45993457,29.53876013
24.60527836,18.09531314,31.12835643
25.16644712,18.38611732,31.95125493
27.77546473,20.07655951,35.47201263
27.67835542,19.89934842,35.44064153
26.47731165,19.45807095,33.50200508
23.7388858,17.97309928,29.49861755
23.07173864,17.30498675,28.83898391
24.17433297,17.46586746,30.87075957
20.53999867,14.8193278,26.25436752
16.79784735,12.04189951,21.55468261
16.54681974,11.32435075,21.76668686
19.04823658,12.92667228,25.15501758
18.79550379,11.81729166,25.76712955
19.83434683,14.38849848,25.2602211
20.07949948,13.3809971,26.79803931
20.0768725,13.92531993,26.19942056
20.23568295,13.98789398,26.4755637
20.51085441,15.16372896,25.86912979
20.60760761,14.77412503,26.43739735
20.19062349,14.69059168,25.70182961
20.14099191,14.24362084,26.01803411
19.77656937,13.88789812,25.67485799
19.9354499,13.38757272,26.48046673
20.28865081,13.90691521,26.6972186
19.94640195,14.47477932,25.43199172
19.16675467,13.32888277,25.02387281
19.16917258,12.7203055,25.63553842
16.86088068,11.21094769,22.50083284
16.45476423,10.2238622,22.69743195
14.81298732,11.82330489,17.79488914
14.94415984,12.12234531,17.76105404
14.89727641,10.27428777,19.5174986
17.68077344,13.53077527,21.83812802
17.9167413,13.77986122,22.03927004
17.44014089,13.60157564,21.28607399
16.0203578,12.3578712,19.70110277
